owner_first_name,owner_family_name,owner_profession,tenant_name,building_functions,rent_price,parish,building_functions_count,longitude,latitude,near_church
ottavio,bertotti,,rocco rimondi,magazzeno,22,san cancian,1,12.338224520594393,45.440222175120766,True
giovanni francesco,morosini,,giacomo marchetti,magazzeno,9,san cancian,1,12.337938790209744,45.44060921739288,True
giovanni francesco,morosini,,iseppo bellilios,magazzeno,46,san cancian,1,12.3379244054777,45.44061456716869,True
lorenzo,tiepolo,,"zuanne briosi, nicolò fior e antonio bonomo",magazzeno,5,san cancian,1,12.33813046479572,45.439904092557285,True
marc'antonio,tiepolo,,agostin visin,magazzeno,26,san cancian,1,12.337574950760118,45.43995331802891,True
marc'antonio,tiepolo,,alessandra stoi,magazzeno,6,san cancian,1,12.337584727846243,45.43993862221454,True
marc'antonio,tiepolo,,elisabetta gottardo castelli,"casetta, magazzeno",30,san cancian,2,12.33759840477958,45.439926860017735,True
giovanni antonio,cavagnis,,antonio bianchi,magazzeno,12,san cancian,1,12.339726047619076,45.441350891234976,False
giovanni antonio,cavagnis,,gincino,magazzeno,40,san cancian,1,12.33972066496938,45.44133655254839,False
giacomo,bon,,battista romanello,magazzeno,4,san cancian,1,12.339351680078448,45.44205566846976,False
bortolo,gradenigo,,battista pignatella,magazzeno,12,san cancian,1,12.339372782626535,45.44225088156141,False
vicenzo,gradenigo,,alessandro fossa,magazzeno,8,san cancian,1,12.33958781643062,45.44248685902416,True
zuanne battista,dedoni,,martin gualdi,magazzeno,70,san cancian,1,12.340141007998776,45.442927570437774,True
zuanne,dona,,martin gualdi,magazzeno,30,san cancian,1,12.340158024689444,45.4429521294855,True
zuanne,dona,,tolota,magazzeno,30,san cancian,1,12.340172957758218,45.44297806129463,True
elena,fracasseti,,giovanni battista romanello,magazzeno,6,san cancian,1,12.340282681098468,45.4427915824634,False
bonomo,algarotti,,antonio valle,magazzeno,27,san cancian,1,12.340466521245164,45.44122210735509,False
bonomo,algarotti,,giacomo vegnudi,magazzeno,5,san cancian,1,12.340501674768904,45.44120444930896,False
anibal,fonte,,bortolo chiapolini,magazzeno,4,san cancian,1,12.340439320748557,45.44119944302484,False
paulo,bembo,,francesco maestrini,"bottega, casa, magazzeno",32,san felice,3,12.335595557551173,45.44330391622741,False
marc'antonio,ronzoni,,ventura galdaldin,magazzeno,18,san felice,1,12.334140290306305,45.44152391138245,True
giovanni,benzon,,dionisio ardito,magazzeno,26,san felice,1,12.333814485180456,45.4416873495235,True
giovanni francesco,bonomo,,anzolo orsetti,"casetta, magazzeno",14,san felice,2,12.333117523999752,45.441561592059145,True
iseppo,balbi,,antonio lazaroni,magazzeno,190,san felice,1,12.33307780337672,45.44152220874948,True
