rent_price,distance_to_nearest_square
70,0.027033872772357127
60,0.015613137584944927
4,0.02192718235680441
70,0.013228260041626165
22,0.01145303289239929
100,0.006074796557764686
180,0.03347356574075685
42,0.03895355175919626
42,0.036657292322933833
80,0.043855438954208396
60,0.04483222082243069
24,0.060663045282595536
24,0.06005795648677184
15,0.059268940804088656
10,0.058694551465409764
53,0.06713032755656516
16,0.06633583381306139
30,0.06537404433781104
12,0.2486269366717207
14,0.01768121894561032
9,0.017181814792093644
46,0.01672361629093711
230,0.01808033152318609
106,0.022291823390573593
85,0.023219961835235902
80,0.02674431472075255
74,0.010100939662476181
32,0.011922476120517061
10,0.015792357729226516
50,0.020962272832969454
20,0.0294431537333207
30,0.03094074856666572
5,0.032172061724391354
24,0.013594216806175957
130,0.015594096928190563
135,0.017413463098997117
180,0.018728019942756323
12,0.019848596289931835
20,0.046319568905513336
56,0.044600268825223506
27,0.054488490913667656
50,0.060172536192987895
26,0.06345670101213653
6,0.06334614983951303
30,0.0628765543792239
50,0.0630396314528199
120,0.040060805099814266
105,0.041815353430700294
76,0.043927188978206994
130,0.05373559212173323
70,0.053839909286972014
20,0.05207055206681703
28,0.05440858282178195
90,0.05487575254843452
110,0.05547768195170494
90,0.05709541545701838
90,0.05791861259289699
60,0.05821548182862425
42,0.05909332163104135
90,0.03731644173709769
26,0.04197241442190924
40,0.04089560874273526
160,0.04706522154265795
240,0.04792439538154571
100,0.06299198654203556
94,0.062115067795517655
250,0.06926821243308166
25,0.07598654575213361
25,0.07742283481422227
25,0.07903961718630544
15,0.07547259631124648
20,0.07692104213684602
20,0.07846229120717636
12,0.07984917349845122
12,0.08139493203853912
240,0.0805977826735642
62,0.10734385218511437
12,0.1028435088076167
28,0.11809753543301113
28,0.11948932461763123
35,0.11595450717669399
50,0.11753490465073763
18,0.12499466210520559
44,0.11976222908569686
48,0.13094073655425872
40,0.13109957270411182
35,0.14416898502551073
35,0.1413040518340044
11,0.13632968122362438
26,0.13588017683422512
10,0.1356590277589412
26,0.13374803786694392
26,0.1335791244049569
48,0.12940777327205485
40,0.12861705736765966
32,0.12762128815478127
14,0.13914497930333647
30,0.14162244345703998
14,0.15500243374070174
160,0.15859544839337758
14,0.15475196194849175
50,0.14874508245505275
55,0.14731697322384443
16,0.14393880303630271
55,0.14460870821122254
66,0.14347839359339365
14,0.1703728765075351
12,0.17096733212335508
60,0.1716648601446219
15,0.1734831438141844
46,0.17431845587856976
61,0.17301140207352994
12,0.17160380205649003
40,0.17010423456327614
26,0.1671469008298701
